"date","almonds","apples","Atlantic herring","aurochs","bacon","barley groats","beef","beer vinegar","Big sheep cheese","black grouse","boar bacon","Brandenburg hard cheese","brined/pickled castrated ram (wether)","brined/pickled goose","brined/pickled lamb","brined/pickled sheep","buckwheat groats","burpot","bustard","butter","calf trunk","candied lemon peel","capercaillie","capon","caraway","carp","carp (type unknown)","chameleon loach","cherry sauce","cherry sauce or marmalade","chestnuts","cinnamon","citrons","cloves","coarse salt","cod","cooking wine","coot","corned beef","cow tongue","cow trunk","crabs","crucian carp","curlew","currants","dates","Deer","deer tongue","doves","dried beef","dried carp","dried common roach","dried eel","dried geese","dried lamb","dried lamprey","dried maraena whitfish","dried mutton","dried pike-perch","dried plums","Dried roe","dried salmon","dried sheep","dried white bream","ducks","eggs","European white fish","fattened pig","fieldfare","figs","finch","fine salt","fish guts","flounder","geese","ginger","Gouda Cheese","gray partridge","gudgeon","haddock","half dried white bream","half-smoked salmon","ham","hazel grouse","hen","honey","jellied eel","lamb","lamprey","lard","lark","lemons","mace","millet gruel","Moose & Calves","Moose and pickeled game (probably also moose)","mustard","mutton","nutmeg","oat groats","olives","oxen","oysters","pearl barley","pearl barley groats","peas","pepper","perch","pickled carp","Pickled deer","pickled eel","pickled gudgeon","pickled herring","pickled lamprey","pickled pike","pickled pike-perch","pickled pork","pickled salmon","pickled sturgeon","pickled wild cow","pig","pig's head","pike","pike-perch","pinenuts","pistachios","Plums","Pomagranates","poppy seeds","preserved barberries","preserved sturgeon","quail","Quark","rabbit","raisins","rice","rice flour","roe deer","saffron","salmon","salmon trout","salted cod","sandpipers","sardines","sheep","small birds","Small sheep cheese","small, edible fish","smoked fish","snails","snow bunting","sparrows & skylarks","spiced gudgeon","spicy sauerkraut","starling","sturgeon","suckling pig","sugar","swans","tench","thrush","turbot","turkey","various small fish ","veal","vimba bream","water mannagrass","waxwing","Wels catfish","westphalian ham","wheat flour","wild boar","wild geese","wine vinegar","yellow hammer","young boar"
1661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1662,NA,NA,NA,NA,2.5,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,710,NA,NA,NA,12,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2407,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.5,NA,NA,NA,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,192,NA,NA,2,NA,NA,NA,NA,NA,3,NA,18,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA
1663,588,NA,NA,NA,546,2842,7,12053,5,853,NA,15700,NA,NA,NA,NA,1061,NA,3,19020,NA,NA,86,515,590,12925,NA,NA,31,NA,NA,74.34,13140,60.7,4786,2652,NA,43,288,476,494,NA,4560,11,1937,28,44,NA,NA,142,79,1920,0,117,NA,NA,NA,NA,7150,0,NA,48,NA,NA,4617,130298,96,NA,1423,0,NA,5644,4,NA,1730,337.625,125,3639,13973,NA,NA,NA,145,1696,14760,NA,96,1506.75,NA,11,NA,NA,71.84,87,5,28,NA,2689.5,69.375,2295,NA,4,9216,1808,45,6246,350.875,NA,0,NA,136,NA,1752,96,1152,NA,NA,1920,NA,NA,74.75,89,12547,NA,NA,64,5740,846,NA,NA,38.5,26,NA,692,859,0,45,51,8.625,242,18,1305,311,NA,1093.5,118,0,1188,9180,NA,NA,280,34,NA,NA,3,279,6365.5,NA,NA,18,1,79,NA,1646.5,NA,53,2076,NA,NA,NA,37,47,NA,7109,19
1664,414,NA,NA,NA,121.25,453,18,1920,NA,69,NA,2640,40,NA,NA,NA,144,NA,NA,9320,NA,100,8,250,NA,3598,NA,NA,111,NA,NA,31.8125,638,20.5625,577,624,NA,8,NA,275,10.25,NA,360,13,416,NA,12,NA,243,152,NA,1080,NA,44,NA,NA,NA,NA,NA,150,NA,64,NA,NA,759,30807,NA,NA,762,46,NA,782,20,NA,654,112.25,43,62,107,NA,NA,NA,82,487,4210,NA,226,85.25,NA,11,NA,1697,37.5,NA,10,NA,NA,671.5,36.125,336,34,11,384,48,10,736,120.5,NA,384,NA,1248,NA,156,NA,96,NA,NA,NA,1200,NA,23.5,2,3221,NA,18,11,551,NA,NA,NA,NA,13,168,109,369.5,697,45,3,5.375,20,NA,289,NA,3648,190.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,2311.5,NA,NA,2068,NA,293,NA,148.75,NA,9,NA,NA,NA,NA,3,19,NA,2491,4
1665,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,576,NA,21.5,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,NA,4,231,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1668,14,480,NA,NA,19,9,0,63.5,0,NA,NA,1800,NA,NA,NA,NA,0,0,NA,340.5,NA,4,NA,0,NA,36,NA,NA,2,NA,NA,0.5,30,0.375,24,NA,NA,NA,NA,46,0.75,NA,NA,1,6,0,NA,NA,50,9,0,NA,0,15,NA,0,0,0,50,6,785,62.25,0,401,41,1500,168,0,2,0,NA,24,0,NA,12,1,14,NA,64,NA,NA,NA,3,NA,62,NA,132,4,NA,NA,24,40,4.09,0,NA,NA,NA,4,0.6,28,3,2,768,172,0,1401.5,1.625,NA,0,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,0.5,NA,285,0,0,0,63,30,NA,NA,NA,NA,0,10,6,88,11,1,0.03125,4,0,49,6,48,1,0,0,156,750,NA,NA,NA,0,0,6,0,0,30,NA,NA,NA,0,6,NA,4,NA,0,NA,1,NA,NA,94,NA,NA,NA,NA
1669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1670,43,NA,NA,NA,7.75,3,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,3,NA,NA,365.5,15,10,0,20,NA,NA,NA,1311,NA,NA,4,0.8,127,0.344,60,NA,NA,NA,NA,11,18.25,3315,260,NA,12,NA,NA,NA,80,10,NA,NA,NA,10,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,78,5158,NA,NA,NA,NA,NA,84,NA,NA,41,4.375,2,10,NA,NA,NA,NA,9,9,342,NA,NA,25,NA,4,190,60,1.3125,NA,NA,NA,NA,15.5,0.5,NA,NA,9,1727,NA,4,NA,4.5,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,1,9,24,NA,NA,NA,16,75,NA,NA,NA,NA,264,19,26,2,NA,4,0.0625,1,19,NA,41,NA,10.25,426,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,4,77.5,NA,NA,46,NA,21,NA,20,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0
1671,84,NA,NA,NA,2,NA,NA,NA,NA,2,NA,128,NA,NA,NA,NA,3,NA,NA,30,4,NA,NA,17,NA,15,NA,360,NA,NA,2,0.7,18,0.375,14,NA,16,NA,NA,4,NA,240,NA,NA,24,NA,NA,NA,12,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,4,2257,NA,NA,NA,NA,NA,48,NA,NA,6,3.5,NA,NA,NA,NA,NA,NA,NA,2,66,4,NA,6.5,NA,NA,NA,NA,1,NA,NA,NA,NA,5,0.69,NA,NA,1,NA,8,2,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,16,NA,NA,NA,NA,18,48,NA,NA,NA,NA,9,42,10,NA,NA,0.03125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,64,NA,NA,NA,NA,5,NA,12.5,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA
1672,72,288,NA,NA,13.5,NA,NA,11,NA,NA,NA,5160,NA,NA,NA,NA,NA,NA,NA,504,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,0.5625,NA,NA,18,NA,NA,NA,0.75,NA,NA,NA,60,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,720,NA,4293,NA,NA,NA,NA,NA,72,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,3,NA,NA,NA,175,1.625,NA,NA,NA,NA,NA,1.1,NA,NA,1,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,92,NA,NA,NA,168,NA,90,NA,NA,NA,0.4375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA
1673,132,NA,NA,NA,13,NA,NA,27,NA,NA,NA,3780,NA,NA,NA,NA,NA,NA,NA,276,NA,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.5,NA,NA,NA,NA,68,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,NA,400,NA,NA,NA,NA,NA,72,NA,NA,7,4.5,NA,NA,NA,NA,NA,NA,NA,NA,28,4,NA,12,NA,9,NA,140,1.125,NA,NA,NA,NA,NA,0.75,NA,NA,1,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,61,NA,NA,NA,0.1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,NA,NA,NA,NA,NA,NA,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
