translation,original,notes,category,macrocategory,subcategory,unit of measure,z1641,z1644,z1645,z1646,z1648,z1656,z1657,z1659,z1662,z1663,z1664,z1665,z1668,z1670,z1671,z1672,z1673,z1674,z1675,z1676,z1677,z1678,z1679,z1680,z1681,z1682,z1683,z1684,z1685,z1686,z1687,z1688,mean,max,min,1640,1641,1642,1643,1644,1645,1646,1647,1648,1649,1650,1651,1652,1653,1654,1655,1656,1657,1658,1659,1660,1661,1662,1663,1664,1665,1666,1667,1668,1669,1670,1671,1672,1673,1674,1675,1676,1677,1678,1679,1680,1681,1682,1683,1684,1685,1686,1687,1688
pickled pike,Pökelfische: Hecht,,Fish,Fish,preserved,Stof (Fluids),,,0.7071067812,,,,,-0.7071067812,,,,,,,,,,,,,,,,,,,,,,,,,16.125,88,0,,1848,,,120,100,0,,,,,,,,,,,,,0,,,,1152,96,,,,0,,,,,,,,,,,,,,,,,,,,
pickled pike-perch,Pökelfische: Zant,,Fish,Fish,preserved,,0.4898436753,-0.5929686595,,1.611327879,,,,-0.9410154814,,0.3351561989,,,-0.9023436123,,,,,,,,,,,,,,,,,,,,10.5,54,0,,12160,,,,2844,1920,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
pickled pork,Schwein pökel Wildpret,,Meat,Meat,pork,Thonne,,,,,,,,0.7071067812,,,-0.7071067812,,,,,,,,,,,,,,,,,,,,,,1.75,8,0,,,,,,1.5,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pickled salmon,Pökelfische: Lachß,,Fish,Fish,preserved,Stof (Fluids),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,67,0,,192,,,1080,,480,,,,,,,,,,,,,0,,,,1920,,,,,0,,,,,,,,,,,,,,,,,,,,
pickled sturgeon,Pökel Stor,,Fish,Fish,,Stof (Fluids),2.233698778,1.053029424,2.169878813,1.914598953,-0.5743796858,,,,-0.5424697033,2.13796883,0.4786497382,-0.5424697033,-0.4786497382,-0.5743796858,-0.5105597207,-0.5743796858,-0.5743796858,-0.5743796858,-0.5743796858,-0.5743796858,-0.5743796858,-0.5743796858,-0.1276399302,,0.2233698778,-0.5743796858,-0.5743796858,-0.5743796858,-0.5743796858,,-0.5424697033,,10,60,1,,,,,,,,,,,,,,,,,,,,60,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,
pickled wild aurochs or elk,Pökel Auer Wildpret,,Meat,Meat,"beef, wild",Thonne,0.6141086036,0.1177306649,0.1940965017,-0.4168301921,,,,-0.7604764573,,2.828717868,0.3086452567,,,-0.4168301921,,-0.6077447839,,,-0.6841106206,-0.6841106206,,,,,-0.4931960288,,,,,,,,1.428571429,4,1,,,,,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pig,Schweine,,Meat,Meat,Pork,Stück (Piece),0.7812562142,0.261621596,-0.9508591799,0.6946504445,,,,0.1533643838,0.04510717172,-0.9292077374,-0.2580130222,,-0.6910418707,-0.7126933132,-0.8859048526,,,,,,,,2.491720166,,,,,,,,,,15.84615385,88,1,,59.75,,,26,53,60.25,,1,,,,,,,,,,,,,,2,74.75,23.5,2,,,0.5,,1,3,1,1,1,1,1,1,1,15,,26,1,1,1,1,,2,
pig's head,Schweinköpffe,,Meat,Meat,Pork,Stück (Piece),1.47643059,,,-0.2427009189,,,,-0.6269773738,,,,,-0.6067522972,,,,,,,,,,,,,,,,,,,,16.15384615,95,0,,190.5,,,142.5,145.5,115,,,,,,,,,,,,,0,,,,89,2,,,,,,9,,4,,,2,2,,,,,7,,,,,,,
pike,Frische Fische: Hecht,,Fish,Fish,,Stück (Piece),,,,,,0.04508348173,,-0.7664191895,,,1.397587934,,-0.676252226,,,,,,,,,,,,,,,,,,,,49.75,172,1,,6322,,,4035,10578,7665,,,,,,,,,,,,,64,,,59,12547,3221,,,,285,,24,16,,,,,,,,172,,,,,,,,,
pike-perch,Zant,,Fish,Fish,,,,,,,,-0.4229488557,,-0.5420893785,,1.781150815,-0.303808333,,-0.5123042478,,,,,,,,,,,,,,,,,,,,3.375,20,0,,8,,,,,18,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
pinenuts,Pienigen/Pienien,,Seeds,Flavorings,,Stof (Solids),1.766505771,0.6521508762,-0.9845578762,-0.6014983809,,-0.9845578762,,-1.158675829,,1.000386781,0.861092419,,-0.009497342857,-0.9497342857,,,,,,,,,0.4083857428,,,,,,,,,,5.125,25,0,,,,,,,,,,,,,,,,,21,,,0,,,,,18,,,,0,,,,,,,,,,,,,,,,,,,,
pistachios,Pistatien,,Nuts,Flavorings,,Pfund (lb),0.4400216908,1.12281397,-1.034809632,0.8496970582,,,,-1.417173308,,1.013567205,,,-0.6797576465,0.6312035289,-0.9255628669,,,,,,,,,,,,,,,,,,12.25,79,0,,,,,,,,,,,,,,,,,12,,,0,,,,64,11,,,,0,,,,,,,,,,,,,,,,,,,,
Plums,Pflaumen,,Fruit,Organics,,Pfund (lb),,,,,,,,,,,,,,,-0.463966976,1.147707783,-0.6837408067,,,,,,,,,,,,,,,,38.9,73,10,,636,,,345,1134,2070,,,,,,,,,,395,,,10,,,,5740,551,,,,63,,16,,,,,,,,,55,,,,,,,,,
Pomagranates,Pomeranzen,,Fruit,Organics,,Stück (Piece),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.6,94,0,,381,,,65,112,65,,,,,,,,,,,,,0,,,,846,,,,,30,,75,18,,,,,,,,,,,,,,,,,
poppy seeds,Mohn,,Seeds,Flavorings,,Stof (Solids),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9,92,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,92,42,,,,,,,,,,,,,,,
preserved barberries,eingemachte Rebarbeerbeeren,,Fruit,Organics,,Stof (Fluids),0.7125598795,1.57318415,-0.8698782945,,,,,-0.9809265874,,0.1017942685,-0.5367334157,,,,,,,,,,,,,,,,,,,,,,2,8,1,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preserved sturgeon,Eingemachter Stör,"The numbers on this one seem a little wonky: on my original spreadsheet, I have 423.5 lb. in 1663",Fish,Fish,,Pfund (lb),-0.3647871645,-0.4114053325,-0.6678052565,-0.8309688445,0.8472852033,,,0.5675761953,,,-0.8542779285,,-1.09902331,1.966121235,,0.8472852033,,,,,,,,,,,,,,,,,8.714285714,55,1,,,,,,,,,,,,,,,,,,,,,,,,38.5,,,,,,,,,,,,,,,,,,,,,,,,,
quail,Wachtelln,,Meat,Meat,"Bird, wild",Stück (Piece),1.616801405,1.333275361,0.04452061838,0.4311470412,,,,-1.16690884,,0.8950987486,-0.9864831758,,-0.9091578912,-0.6771820375,-0.9349329861,,,,,,,,0.3538217566,,,,,,,,,,19.75,93,0,,3,,,649,1,,,,,,,,,,,,,,0,,,,26,13,,,,,,,,,,,,,,,,,,,,,,,,
quark,Glumse,,Dairy,Dairy,,Stof (Fluids),0.7935679651,-0.2584764229,1.192619285,1.228896677,-0.947746884,-1.419352989,,-0.04081206677,,1.482838426,0.06802011129,,-0.367308601,-0.8751920986,-0.2947538156,1.446561033,0.3945166455,-1.455630382,,,,,-0.947746884,,,,,,,,,,81.45454545,264,1,,340,,,312,216,199,,168,,,,,,,,,,,144,,,,,168,,,,0,,264,,168,,,,,,,,,,,,,,,,
rabbit,Haasen,,Meat,Meat,wild,Stück (Piece),0.8728334643,0.8250069731,1.398924867,0.944573201,,-0.8010937275,1.518491095,-0.9684864466,,-1.088052675,0.7293539907,,0.05978311399,-1.064139429,-0.8728334643,,,-0.7532672363,,,,,-0.8010937275,,,,,,,,,,36.09090909,98,0,,87,,,87,249,457,,,,,,,,,,,,,0,,,,692,109,,,,10,,19,9,,,,,,,,59,,,,,,,,,
raisins,Rosinen,,Fruit,Organics,preserved,Pfund (lb),,,,,,,,,,0.5053929359,0.6464328249,,-1.151825761,,,,,,,,,,,,,,,,,,,,49.13333333,92,10,,425.5,,,214.75,496.75,661.2,,24,,,,,,,,264,,,49,,,,859,369.5,,,,6,,26,42,90,61,10,,,,,24,,,,,,,,,
rice,Reiß,,Grain,Grain,,Pfund (lb),1.358934576,1.217468201,1.523978681,-0.6451724092,,,,-0.92810516,,0.6516026989,0.06215946799,,-0.7630610553,-0.8337942431,,,,,,,,,-0.7394833261,,,-0.9045274308,,,,,,,44.23076923,110,2,,520,,,547,837,666.5,,,,,,,,,,328,110,,6,,,,0,697,,,,88,,2,10,,,15,,,,,13,,,,,,,,,
rice flour,Reißmehl,,Grain,Grain,,Pfund (lb),1.845960549,0.7682091776,1.948603537,-0.3095421941,-0.6784154315,-0.05293472467,-0.6559622779,-0.6841890995,,1.563692333,1.024816647,,-0.6431319044,-0.6928496016,-0.6936515,-0.6832268215,-0.6896420083,-0.6816230249,,,,,-0.6861136556,,,,,,,,,,19.71428571,63,1,,,,,,,,,,,,,,,,,,,,,,,,45,45,,,,11,,,,,,,,,,,,,,,,,,,,
roe deer,Rehe,,Meat,Meat,"venison, wild",Stück (Piece),0.7902982201,1.436524375,-0.2559726978,1.92888716,,,,-1.040675886,,0.05175404273,-0.1944273497,,-0.1944273497,-1.086834897,,,,,,,,,-0.4406087422,,,-0.9945168752,,,,,,,31.18181818,105,0,,67,,,62.75,80.75,127.75,,,,,,,,,,,,,0,,,,51,3,,,,1,,4,,,,,,,,,8,,,1,,,,,,
saffron, Saffran,,Spice,Flavorings,,Pfund (lb),1.620280893,,,-0.8101404467,,,,,,0.1761174884,,,-0.8101404467,-0.1761174884,,,,,,,,,,,,,,,,,,,23.00429688,104,0.03125,,7.9,,,3.3,8.7,15.7,,0.625,,,,,,,,9.06,1.5,,0.4,,,,8.625,5.375,,,,0.03125,,0.0625,0.03125,0.4375,0.1875,0.5,,,,,0.325,,,,,,,,,
salmon,Frische Fische: Lächße,,Fish,Fish,,Stück (Piece),1.093553368,1.272498464,-0.7853701458,-0.7257217803,,,,-1.26255707,,-0.755545963,-0.06958975975,,-0.1292381253,,,,,,,,,,1.361971012,,,,,,,,,,31.31818182,100,1,,308,,,56.5,165.5,96.5,,,,,,,,,,,,,2.5,,,,242,20,,,,4,,1,,,,,,,,,22,,,4,,,,,,
salmon trout,Lachßfahren,"See Charles Nicolas Sigisberg Sonnini de Manocourt's Histoire naturelle, generale et particuliere, des poissons, volume 98 p. 175. ",Fish,Fish,,Stück (Piece),-0.2226616085,-0.9351787556,1.024243399,0.01484410723,,,,-1.885201618,,0.9648669701,,,0.4898555387,0.5492319676,,,,,,,,,,,,,,,,,,,7.125,30,1,,39,,,,,0,,,,,,,,,,,,,,,,,18,,,,,0,,19,,,,,,,,,,,,,,,,,,
salted cod,Bergerfisch,See Adelung,Fish,Fish,,Stof (Fluids),,,,,,-0.0700140042,,-1.33026608,,,1.050210063,,0.350070021,,,,,,,,,,,,,,,,,,,,34.33333333,88,0,,497,,,565,1169,1793,,,,,,,,,,,,,0,,,,1305,289,,,,49,,,,,,,,,,,88,,,,,,,,,
sandpipers,Schneppen or Waßerhüner,,Meat,Meat,"Bird, wild",Stück (Piece),-0.6616904875,-0.5196691145,-0.3776477416,0.9005446147,,,,-0.2356263687,-0.8037118604,-0.6616904875,2.60480109,,-0.09360499579,0.3679644662,,,,,,,,,-0.5196691145,,,,,,,,,,25.88888889,50,0,,167,,,125,256,25,,,,,,,,,,,,,0,,,,311,,,,,6,,41,,,,,,,,,,,,,,,,,,
sardines,Sarttelen,,Fish,Fish,,Stück (Piece),0.002520213232,-0.1335713013,-0.2847840952,-0.3301479333,,,,-0.7157405578,,-0.6401341608,,,-0.7081799181,2.505091952,,,,,,,,,0.304945801,,,,,,,,,,15.125,52,0,,,,,,,,,,,,,,,,,96,,,0,,,,,3648,,,,48,,,,,,,,,,,,,,,,,,,,
sheep,Schaafe,,Meat,Meat,Other,Stück (Piece),-0.5976246694,0.2930288702,1.480566923,1.210671911,,,,-0.813540679,,-0.7865511778,,,-0.7865511778,,,,,,,,,,,,,,,,,,,,8.022727273,27,1,,"1,268.50",,,"1,164.75","1,172.25",1381,,,,,,,,,,,,,6,,,2,"1,093.50",190.5,,,,1,,10.25,,,,,,,,,4,,,,,,,,,
small birds,Kleine Vogel,,Meat,Meat,"Bird, wild",Stück (Piece),-0.005795845966,-0.2144463008,-0.2144463008,-0.1912629169,,,,2.335725924,,-0.8751727409,,,-0.8056225893,,,,,,,,,,-0.02897922983,,,,,,,,,,76.4,426,0,,649,,,50,296,391,,,,,,,,,,,,,0,,,,118,,,,,0,,426,,,,,,,,,135,,,,,,,,,
small pickled fish,Pökel Speißfische,"See Krünitz, <13, 505>",Fish,Fish,,Stof (Fluids),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.11111111,288,1,,5280,,,4032,3576,504,,,,,,,,,,,,,288,,,,1188,,,,,156,,,,,,,,,,,84,,,,,,,,,
small sheep cheese,Kleine Schaaffkese,,Dairy,Dairy,,Stück (Piece),-0.5055183915,0.5917308304,0.7837494442,-1.163867925,,,,-1.191299155,,1.414667747,,,0.07053744998,,,,,,,,,,,,,,,,,,,,26.25,86,0,,1071,,,204,515,553,,,,,,,,,,,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,
smoked fish,Rochfisch/Rauchfisch,,Fish,Fish,,Stück (Piece),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.75,96,0,,15480,,,390,4080,0,,,,,,,,,,,,,0,,,,9180,,,,,750,,,,,,,,,,,,,,,,,,,,
snails,Schnecken,,Seafood,Meat,,Stück (Piece),-0.1590220181,,1.749242199,-0.7155990816,,,,-0.7421027512,,0.5830807331,,,-0.7155990816,,,,,,,,,,,,,,,,,,,,53.375,420,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420,,,,,,,,,
snow bunting,Schneevogel,Referred to as Schneeammer in Krünitz,Meat,Meat,"Bird, wild",Stück (Piece),0.4259897168,0.1657697541,-0.2679301839,-0.5108021491,0.2004657491,,,-0.2158861913,2.282225451,,,,-1.031242075,-1.048590072,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sparrows and skylarks,Spreen u. Lÿrchen,,Meat,Meat,"Bird, wild",Stück (Piece),-1.417374521,0.8733317756,0.07158457177,,,,,,,,,,0.4724581737,,,,,,,,,,,,,,,,,,,,7.142857143,44,1,,,,,,,,,,,,,,,,,,,,,,,,280,,,,,,,,,,,,,,,,,,,,,,,,,
spiced gudgeon,Roßmucken,See Idioticon Prussicum and Preussische Wörterbuch,Fish,Fish,,Stück (Piece),-0.4996560027,,,-0.4542327297,,,,,,1.498968008,,,-0.5450792757,,,,,,,,,,,,,,,,,,,,19.125,95,0,,143,,,,66,0,,,,,,,,,,,,,0,,,,34,,,,,0,,,,,,,,,,,,,,,,,,,,
spicy sauerkraut,Schaafenkombst/Schäfen Kumbst,Not sure of translation,Vegetable,Organics,,Stof (Fluids),2.332903658,1.130671098,0.3578073095,-0.07156146191,,,,-0.8014883734,-0.7156146191,0.9589235896,-0.6297408648,,-0.7585514962,-0.6297408648,-0.6726777419,,,,,,,,-0.5009302334,,,,,,,,,,42.36363636,192,0,,528,,,41555,240,240,,72,,,,,,,,,,,48,,,192,,,,,,0,,0,,,,,,,,,,,,,,,,,,
starling,Spreen,From a Platdeutsch word see: http://www.welt.de/welt_print/article1243926/Auf-ein-Platt-Wort.html,Meat,Meat,"Bird, wild",Stück (Piece),-0.34959648,-0.6963398546,-0.2009921767,-0.4321544263,-0.3908754532,-0.6055261136,3.667879583,-0.1019226411,,-0.1184342303,-0.4982007834,,-0.5147123727,-0.09779474376,-0.2092479713,0.4677271885,0.0219142784,-0.4073870425,,,,,0.4656632399,,,,,,,,,,18.14285714,48,1,,107,,,24,19,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,
sturgeon,Stör,,Fish,Fish,,Stück (Piece),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.142857143,47,1,,1,,,,,1,,,,,,,,,,,,,,,,,3,,,,,0,,,,,,,,,,,,,,,,,,,,
suckling pig,Spanferkel,,Meat,Meat,Pork,Stück (Piece),-0.7071067812,,0.7071067812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.16666667,46,0,,432,,,227,160,170,,,,,,,,,,,,,0,,,2,279,105,,,,0,,4,3,,,,,,,,7,,,,,,,,,
sugar,Zucker,,Sugar,Flavorings,,Pfund (lb),-0.1616263846,-1.173548097,1.918434913,-0.1054085117,,,,-1.117330224,,-0.1616263846,0.007027234115,,,0.7940774549,,,,,,,,,,,,,,,,,,,92.4296875,533.625,6,,2333,,,"1,524.40",3414,"3,296.25",,42,,,,,,,,"4,190.50",533.625,,77,,,,"6,365.50","2,311.50",,,,30,,77.5,64,146,92,40,,,,,145.75,,,,,,,,,
swans,Schwanen,,Meat,Meat,"bird, wild",Stück (Piece),,1.30558242,,-0.7833494518,,,,,,0.2611164839,,,-0.7833494518,,,,,,,,,,,,,,,,,,,,0.875,1,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tench,Schleÿen,See https://en.wikipedia.org/wiki/Tench,Fish,Fish,,Stof (Fluids),-0.03171724167,-0.5541188692,-0.2406778927,0.1772434093,,,,-1.024280334,-0.9459200898,1.248166746,0.04664300245,-0.8414397643,0.02052292108,-0.475758625,-0.893679927,,,,,,,,0.9869659319,,2.528050733,,,,,,,,8.142857143,51,1,,1,,,,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thrush,Drußeln/Droßelln,,Meat,Meat,"Bird, wild",Stück (Piece),1.667688795,-0.521735042,-0.3121093555,0.0838502746,,,,-0.917694672,,,,,,,,,,,,,,,,,,,,,,,,,25.88888889,67,1,,1680,,,116,345,2351,,,,,,,,,,,,,12,,,,18,2068,,,,,,46,,,,,,,,,,,,,,,,,,
turbot,Steinbutter,,Fish,Fish,,Stück (Piece),1.378597266,0.6621349656,1.041438536,0.9150040127,,,,-0.9182965784,-0.6022102696,-0.8761517372,-0.6022102696,,-0.3493412225,-0.5600654284,-0.7181085828,-0.6654275313,-0.6759637416,,,,,,0.4566788649,,2.369001033,,,,,,-0.8550793166,,2,4,1,,,,,1,,0,,,,,,,,,,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,
various small fish,Speißfische,,Fish,Fish,,Stof (Fluids),-0.812308478,0.6026804837,1.47525701,0.555514185,,,,-1.09530627,,0.5083478862,0.885678276,,-1.09530627,,,,,,,,,,-1.024556822,,,,,,,,,,11.625,44,0,,96,,,132,156,340,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
veal,Kälber,,Meat,Meat,Beef,Stück (Piece),-0.2553348448,,0.05933837942,-0.8091597194,,,,,-0.8846812932,-0.6203557848,,,,,,,,,,,,,0.5628155381,,1.947377725,,,,,,,,40.015625,159,1,,977.85,,,523.13,685.85,779.75,,,,,,,,,,,,,3,,,18,"1,646.50",148.75,,,,4,,20,12.5,15,14.5,,,,,,68.25,,159,,,,,,6,
vimba bream,Zertten,,Fish,Fish,,Stück (Piece),,,,-0.7071067812,,,,,,,,,0.7071067812,,,,,,,,,,,,,,,,,,,,1.142857143,2,1,,20,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
water mannagrass,Schwaden,,Grain,Grain,,Stof (Solids),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.77777778,111,1,,120.5,,,45.5,97,51,,,,,,,,,,,,,1,,,,53,9,,,,0,,,,,,,,,,,4,,,,,,,,,
waxwing,Seÿden SchwäntzSchwantz/Seiden Schwäntz,,Meat,Meat,"Bird, wild",Stück (Piece),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.9,240,1,,343,,,,580,186,,,,,,,,,,,,,,,,15,2076,,,,,,,,,,,,,,,,130,,240,,,,,,,
Wels catfish,Welße,,Fish,Fish,,Stück (Piece),0.9585467629,0.5975534029,0.5674706229,1.650450703,,,,-1.162289228,,0.4170567228,0.08614614275,,0.3568911628,-1.177330618,,,,,,,,,-1.147247838,,-1.147247838,,,,,,,,2.142857143,8,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
westphalian ham,Westphalische Schincken,,Meat,Meat,pork,Stück (Piece),0.2001132649,-0.8504813757,1.484173381,-0.111174036,,,,-1.35632324,,1.01724243,-0.3835504243,,,,,,,,,,,,,,,,,,,,,,1,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wheat flour,Weitzen Mehl,,Grain,Grain,,Stof (Solids),,,,,,,,,,,,,,,-0.7071067812,0.7071067812,,,,,,,,,,,,,,,,,21.875,168,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,,,,,,,,,
wild boar,Wildeschweine,,Meat,Meat,"pork, wild",Stück (Piece),-0.1152188251,,0.2486300964,0.4669394493,,,,-1.643384295,,1.376561753,-0.3335281781,,,,,,,,,,,,,,,,,,,,,,33.31818182,95,0,,41,,,31.37,30.75,86.25,,,,,,,,,,,,,0.5,,,,37,3,,,,94,,0,,,,,,,,,1,,1,,,,,,,
wild geese,Wilde Gänße,,Meat,Meat,"bird, wild",Stück (Piece),-0.3705804183,0.3589997802,0.08106446651,1.991869748,,,,-1.030676788,,0.04632255229,0.8801284935,,,-1.030676788,,,,,,,,,-0.9264510458,,,,,,,,,,26.375,74,0,,20,,,12,41,25,,,,,,,,,,,,,0,,,,47,19,,,,,,,,,,,,,,,,,,,,,,,,
wild turkey,Kalkuhnen,,Meat,Meat,"bird, fowl",Stück (Piece),0.7071067812,,,-0.7071067812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,136,0,,196,,,133,168,358,,,,,,,,,,,,,0,,,3,79,293,7,,,6,,21,5,,,,,,,,77,,136,,,,,,,
wine vinegar,Weineßig,,Acid,Flavorings,,Stof (Fluids),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.333333333,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,12,,,,,,,,,,,,,,,,
yellow hammer,Goldämmer,,Meat,Meat,"Bird, wild",Stück (Piece),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.5,84,0,,2092,,,,2685,4453,,,,,,,,,,,,,0,,,,7109,2491,,,,,,,,,,,,,,,,,,,,,,,,
young boar,Fröschlinge,,Meat,Meat,"pork, wild",Stück (Piece),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.5,88,0,,13,,,20.25,18.37,74.25,,,,,,,,,,,,,0,,,,19,4,,,,,,0,,,,,,,,,3,,,,,,,,,