"","translation","german","category","macrocategory","subcategory","unit.of.measure","z1641","z1644","z1645","z1646","z1648","z1656","z1657","z1659","z1662","z1663","z1664","z1665","z1668","z1670","z1671","z1672","z1673","z1674","z1675","z1676","z1677","z1678","z1679","z1680","z1681","z1682","z1683","z1684","z1685","z1686","z1687","z1688","mean","max","min","X1640","X1641","X1642","X1643","X1644","X1645","X1646","X1647","X1648","X1649","X1650","X1651","X1652","X1653","X1654","X1655","X1656","X1657","X1658","X1659","X1660","X1661","X1662","X1663","X1664","X1665","X1666","X1667","X1668","X1669","X1670","X1671","X1672","X1673","X1674","X1675","X1676","X1677","X1678","X1679","X1680","X1681","X1682","X1683","X1684","X1685","X1686","X1687","X1688"
"6","barley groats",NA,"Grain","Grain","","Stof (Solids)",-0.3988202152,-0.4538299,-0.5500968485,-0.3025532667,NA,NA,NA,2.814662208,-0.3575629515,-0.3758995131,-0.2888008455,NA,-0.3483946707,-0.5638492697,NA,NA,NA,NA,NA,NA,NA,NA,-0.3575629515,NA,1.182708224,NA,NA,NA,NA,NA,NA,NA,"123.3333333",740,1,NA,"2",NA,NA,"149.5","1,431.50","452",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,740,NA,NA,48,"2842","453",NA,NA,NA,"9",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,384,NA,NA,NA,NA,NA,NA,NA
"17","buckwheat groats",NA,"Grain","Grain","","Stof (Solids)",-0.0207061491,0.2539227759,0.5808619722,-0.661506974,NA,NA,NA,-0.7138172454,NA,-0.6353518383,-0.4914985919,NA,-0.7007396776,-0.6745845419,-0.6745845419,NA,NA,NA,NA,NA,NA,NA,1.313205772,NA,2.42479904,NA,NA,NA,NA,NA,NA,NA,"50.75",240,0,NA,"261.5",NA,NA,"455.5","753","1,470.50",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0,NA,NA,NA,"1061","144",NA,NA,NA,"0",NA,3,3,NA,NA,NA,NA,NA,NA,NA,155,NA,240,NA,NA,NA,NA,NA,NA,NA
"93","millet gruel",NA,"Grain","Grain","","Stof (Solids)",-0.05292953631,NA,-0.503981237,1.525751416,NA,NA,NA,-0.7939430446,NA,1.300225566,-0.7939430446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.6811801194,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36",94,0,NA,"178",NA,NA,"60","204","456",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0,NA,NA,NA,"87","",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","oat groats",NA,"Grain","Grain","","Stof (Solids)",-0.4227133983,1.071963811,1.72588509,-0.6095480495,NA,0.1377905552,-0.936508689,-1.053280346,NA,NA,1.071963811,NA,0.09108189245,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.076634677,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77.1",336,1,NA,"459.5",NA,NA,"463","936","1275",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,52,NA,NA,NA,"2295","336",NA,NA,NA,"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,336,NA,NA,NA,NA,NA,NA,NA
"103","pearl barley",NA,"Grain","Grain","","Stof (Solids)",NA,NA,NA,NA,NA,-0.4323732181,NA,NA,NA,2.263203563,-0.4323732181,NA,-0.4323732181,-0.2905007559,-0.3850823974,NA,NA,NA,NA,NA,NA,NA,-0.2905007559,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40.2",101,0,NA,"662",NA,NA,"432","789","408.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0,NA,NA,NA,"1808","48",NA,NA,NA,"172",NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA
"104","pearl barley groats",NA,"Grain","Grain","","Pfund (lb)",-0.6004745552,-0.5348130401,-0.4822838281,-0.4757176766,NA,NA,NA,2.577542773,NA,-0.3608100252,-0.3575269495,NA,-0.5873422522,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01674368634,NA,0.804681867,NA,NA,NA,NA,NA,NA,NA,"7.8",59,1,NA,"",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,NA,NA,NA,NA,NA,"45","10",NA,NA,NA,"0",NA,4,2,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","peas",NA,"Grain","Grain","","Stof (Solids)",1.34959507,-0.008320561468,1.519334524,1.406174888,-0.8428728767,0.3877381644,0.9252464352,-0.7580031497,NA,1.802233614,-0.4043792873,NA,-0.5741187413,-0.8287279222,-0.8853077401,-0.7438581952,-0.8287279222,-0.7438581952,NA,NA,NA,NA,-0.7721481042,NA,NA,NA,NA,NA,NA,NA,NA,NA,"187.2",972,1,NA,"1,994.50",NA,NA,"1427","2195","3390",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,972,NA,NA,NA,"6246","736",NA,NA,NA,"1,401.50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192,NA,432,NA,NA,NA,NA,NA,NA,NA
"139","rice",NA,"Grain","Grain","","Pfund (lb)",1.358934576,1.217468201,1.523978681,-0.6451724092,NA,NA,NA,-0.92810516,NA,0.6516026989,0.06215946799,NA,-0.7630610553,-0.8337942431,NA,NA,NA,NA,NA,NA,NA,NA,-0.7394833261,NA,NA,-0.9045274308,NA,NA,NA,NA,NA,NA,"44.23076923",110,2,NA,"520",NA,NA,"547","837","666.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"328",110,NA,6,NA,NA,NA,"0","697",NA,NA,NA,"88",NA,2,10,NA,NA,15,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","rice flour",NA,"Grain","Grain","","Pfund (lb)",1.845960549,0.7682091776,1.948603537,-0.3095421941,-0.6784154315,-0.05293472467,-0.6559622779,-0.6841890995,NA,1.563692333,1.024816647,NA,-0.6431319044,-0.6928496016,-0.6936515,-0.6832268215,-0.6896420083,-0.6816230249,NA,NA,NA,NA,-0.6861136556,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19.71428571",63,1,NA,"",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"45","45",NA,NA,NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","water mannagrass",NA,"Grain","Grain","","Stof (Solids)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"46.77777778",111,1,NA,"120.5",NA,NA,"45.5","97","51",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,1,NA,NA,NA,"53","9",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","wheat flour",NA,"Grain","Grain","","Stof (Solids)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.7071067812,0.7071067812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21.875",168,1,NA,"",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168,NA,NA,NA,NA,NA,NA,NA,NA,NA
