"date","Moose and pickeled game (probably also moose)","Pickled deer","pickled pork","pickled wild cow"
1640,,,,
1641,28.87,17.25,,
1642,,,,
1643,,,,
1644,,6.25,,
1645,1,8,1.5,0.62
1646,,11,,
1647,,,,
1648,,,,
1649,,,,
1650,,,,
1651,,,,
1652,,,,
1653,,,,
1654,,,,
1655,,,,
1656,,,,
1657,,,,
1658,,,,
1659,,0,0,
1660,,,,
1661,,,,
1662,,,,
1663,28,,,
1664,,,,
1665,,,,
1666,,,,
1667,,,,
1668,,,,
1669,,,,
1670,,,,
1671,,,,
1672,,,,
1673,,,,
1674,,,,
1675,,,,
1676,,,,
1677,,,,
1678,,,,
1679,,,,
1680,,,,
1681,,,,
1682,,,,
1683,,,,
1684,,,,
1685,,,,
1686,,,,
1687,,,,
1688,,,,