unit,category,use,translation,item,subcategory,value,date,source,jason_notes
Stück (Piece),Fruit,,citron,Cittronen [Zittronen],Citrus,,1640,,
Stück (Piece),Fruit,,citron,Cittronen [Zittronen],Citrus,990,1641,,
Stück (Piece),Fruit,,citron,Cittronen [Zittronen],Citrus,,1642,,
Stück (Piece),Fruit,,citron,Cittronen [Zittronen],Citrus,,1643,,
Stück (Piece),Fruit,,citron,Cittronen [Zittronen],Citrus,132,1644,,
Stück (Piece),Fruit,,citron,Cittronen [Zittronen],Citrus,462,1645,,
Stück (Piece),Fruit,,citron,Cittronen [Zittronen],Citrus,447,1646,,
Stück (Piece),Fruit,,citron,Cittronen [Zittronen],Citrus,,1647,,
Stück (Piece),Fruit,,citron,Cittronen [Zittronen],Citrus,,1648,,
Stück (Piece),Fruit,,citron,Cittronen [Zittronen],Citrus,,1649,,
Stück (Piece),Fruit,,citron,Cittronen [Zittronen],Citrus,,1650,,
Stück (Piece),Fruit,,citron,Cittronen [Zittronen],Citrus,,1651,,
Stück (Piece),Fruit,,citron,Cittronen [Zittronen],Citrus,,1652,,
Stück (Piece),Fruit,,citron,Cittronen [Zittronen],Citrus,,1653,,
Stück (Piece),Fruit,,citron,Cittronen [Zittronen],Citrus,,1654,,
Stück (Piece),Fruit,,citron,Cittronen [Zittronen],Citrus,,1655,,
Stück (Piece),Fruit,,citron,Cittronen [Zittronen],Citrus,,1656,,
Stück (Piece),Fruit,,citron,Cittronen [Zittronen],Citrus,,1657,,
Stück (Piece),Fruit,,citron,Cittronen [Zittronen],Citrus,,1658,,
Stück (Piece),Fruit,,citron,Cittronen [Zittronen],Citrus,0,1659,,
Stück (Piece),Fruit,,citron,Cittronen [Zittronen],Citrus,,1660,,
Stück (Piece),Fruit,,citron,Cittronen [Zittronen],Citrus,,1661,,
Stück (Piece),Fruit,,citron,Cittronen [Zittronen],Citrus,,1662,,
Stück (Piece),Fruit,,citron,Cittronen [Zittronen],Citrus,13140,1663,,
Stück (Piece),Fruit,,citron,Cittronen [Zittronen],Citrus,638,1664,,
Stück (Piece),Fruit,,citron,Cittronen [Zittronen],Citrus,,1665,,
Stück (Piece),Fruit,,citron,Cittronen [Zittronen],Citrus,,1666,,
Stück (Piece),Fruit,,citron,Cittronen [Zittronen],Citrus,,1667,,
Stück (Piece),Fruit,,citron,Cittronen [Zittronen],Citrus,30,1668,,
Stück (Piece),Fruit,,citron,Cittronen [Zittronen],Citrus,,1669,,
Stück (Piece),Fruit,,citron,Cittronen [Zittronen],Citrus,127,1670,,
Stück (Piece),Fruit,,citron,Cittronen [Zittronen],Citrus,18,1671,,
Stück (Piece),Fruit,,citron,Cittronen [Zittronen],Citrus,,1672,,
Stück (Piece),Fruit,,citron,Cittronen [Zittronen],Citrus,,1673,,
Stück (Piece),Fruit,,citron,Cittronen [Zittronen],Citrus,,1674,,
Stück (Piece),Fruit,,citron,Cittronen [Zittronen],Citrus,,1675,,
Stück (Piece),Fruit,,citron,Cittronen [Zittronen],Citrus,,1676,,
Stück (Piece),Fruit,,citron,Cittronen [Zittronen],Citrus,,1677,,
Stück (Piece),Fruit,,citron,Cittronen [Zittronen],Citrus,,1678,,
Stück (Piece),Fruit,,citron,Cittronen [Zittronen],Citrus,250,1679,,
Stück (Piece),Fruit,,citron,Cittronen [Zittronen],Citrus,,1680,,
Stück (Piece),Fruit,,citron,Cittronen [Zittronen],Citrus,,1681,,
Stück (Piece),Fruit,,citron,Cittronen [Zittronen],Citrus,,1682,,
Stück (Piece),Fruit,,citron,Cittronen [Zittronen],Citrus,,1683,,
Stück (Piece),Fruit,,citron,Cittronen [Zittronen],Citrus,,1684,,
Stück (Piece),Fruit,,citron,Cittronen [Zittronen],Citrus,,1685,,
Stück (Piece),Fruit,,citron,Cittronen [Zittronen],Citrus,,1686,,
Stück (Piece),Fruit,,citron,Cittronen [Zittronen],Citrus,,1687,,
Stück (Piece),Fruit,,citron,Cittronen [Zittronen],Citrus,,1688,,
Stück (Piece),Fruit,,lemons,Lemonien / Limonien,Citrus,,1640,,
Stück (Piece),Fruit,,lemons,Lemonien / Limonien,Citrus,2757,1641,,
Stück (Piece),Fruit,,lemons,Lemonien / Limonien,Citrus,,1642,,
Stück (Piece),Fruit,,lemons,Lemonien / Limonien,Citrus,,1643,,
Stück (Piece),Fruit,,lemons,Lemonien / Limonien,Citrus,1702,1644,,
Stück (Piece),Fruit,,lemons,Lemonien / Limonien,Citrus,4112,1645,,
Stück (Piece),Fruit,,lemons,Lemonien / Limonien,Citrus,4778,1646,,
Stück (Piece),Fruit,,lemons,Lemonien / Limonien,Citrus,,1647,,
Stück (Piece),Fruit,,lemons,Lemonien / Limonien,Citrus,24,1648,,
Stück (Piece),Fruit,,lemons,Lemonien / Limonien,Citrus,,1649,,
Stück (Piece),Fruit,,lemons,Lemonien / Limonien,Citrus,,1650,,
Stück (Piece),Fruit,,lemons,Lemonien / Limonien,Citrus,,1651,,
Stück (Piece),Fruit,,lemons,Lemonien / Limonien,Citrus,,1652,,
Stück (Piece),Fruit,,lemons,Lemonien / Limonien,Citrus,,1653,,
Stück (Piece),Fruit,,lemons,Lemonien / Limonien,Citrus,,1654,,
Stück (Piece),Fruit,,lemons,Lemonien / Limonien,Citrus,,1655,,
Stück (Piece),Fruit,,lemons,Lemonien / Limonien,Citrus,7862,1656,- Rentspeicher Records!,
Stück (Piece),Fruit,,lemons,Lemonien / Limonien,Citrus,700,1657,: AuÂ§gabe,
Stück (Piece),Fruit,,lemons,Lemonien / Limonien,Citrus,,1658,,
Stück (Piece),Fruit,,lemons,Lemonien / Limonien,Citrus,87,1659,,
Stück (Piece),Fruit,,lemons,Lemonien / Limonien,Citrus,,1660,,
Stück (Piece),Fruit,,lemons,Lemonien / Limonien,Citrus,,1661,,
Stück (Piece),Fruit,,lemons,Lemonien / Limonien,Citrus,,1662,,
Stück (Piece),Fruit,,lemons,Lemonien / Limonien,Citrus,,1663,,
Stück (Piece),Fruit,,lemons,Lemonien / Limonien,Citrus,1697,1664,,
Stück (Piece),Fruit,,lemons,Lemonien / Limonien,Citrus,,1665,,
Stück (Piece),Fruit,,lemons,Lemonien / Limonien,Citrus,,1666,,
Stück (Piece),Fruit,,lemons,Lemonien / Limonien,Citrus,,1667,,
Stück (Piece),Fruit,,lemons,Lemonien / Limonien,Citrus,40,1668,,
Stück (Piece),Fruit,,lemons,Lemonien / Limonien,Citrus,,1669,,
Stück (Piece),Fruit,,lemons,Lemonien / Limonien,Citrus,60,1670,,
Stück (Piece),Fruit,,lemons,Lemonien / Limonien,Citrus,,1671,,
Stück (Piece),Fruit,,lemons,Lemonien / Limonien,Citrus,175,1672,,
Stück (Piece),Fruit,,lemons,Lemonien / Limonien,Citrus,140,1673,,
Stück (Piece),Fruit,,lemons,Lemonien / Limonien,Citrus,,1674,,
Stück (Piece),Fruit,,lemons,Lemonien / Limonien,Citrus,,1675,,
Stück (Piece),Fruit,,lemons,Lemonien / Limonien,Citrus,,1676,,
Stück (Piece),Fruit,,lemons,Lemonien / Limonien,Citrus,,1677,,
Stück (Piece),Fruit,,lemons,Lemonien / Limonien,Citrus,,1678,,
Stück (Piece),Fruit,,lemons,Lemonien / Limonien,Citrus,50,1679,,
Stück (Piece),Fruit,,lemons,Lemonien / Limonien,Citrus,,1680,,
Stück (Piece),Fruit,,lemons,Lemonien / Limonien,Citrus,,1681,,
Stück (Piece),Fruit,,lemons,Lemonien / Limonien,Citrus,,1682,,
Stück (Piece),Fruit,,lemons,Lemonien / Limonien,Citrus,,1683,,
Stück (Piece),Fruit,,lemons,Lemonien / Limonien,Citrus,,1684,,
Stück (Piece),Fruit,,lemons,Lemonien / Limonien,Citrus,,1685,,
Stück (Piece),Fruit,,lemons,Lemonien / Limonien,Citrus,,1686,,
Stück (Piece),Fruit,,lemons,Lemonien / Limonien,Citrus,,1687,,
Stück (Piece),Fruit,,lemons,Lemonien / Limonien,Citrus,,1688,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1640,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,381,1641,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1642,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1643,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,65,1644,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,112,1645,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,65,1646,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1647,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1648,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1649,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1650,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1651,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1652,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1653,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1654,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1655,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1656,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1657,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1658,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,0,1659,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1660,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1661,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1662,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,846,1663,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1664,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1665,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1666,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1667,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,30,1668,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1669,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,75,1670,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,18,1671,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1672,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1673,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1674,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1675,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1676,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1677,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1678,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1679,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1680,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1681,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1682,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1683,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1684,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1685,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1686,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1687,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1688,,
