date,group,value,perc_season
1640,winter,0,0
1640,spring,0,0
1640,summer,0,0
1640,fall,0.024657534,0.097826
1641,winter,0.246575343,1
1641,spring,0.252054795,1
1641,summer,0.224657534,0.8913043
1641,fall,0.082191781,0
1642,winter,0.246575343,1
1642,spring,0.252054795,1
1642,summer,0.252054795,1
1642,fall,0.252054795,1
1643,winter,0.112328767,0.4456217
1643,spring,0,0
1643,summer,0,0
1643,fall,0,0
1644,winter,0,0
1644,spring,0,0
1644,summer,0,0
1644,fall,0,0
1645,winter,0.104109589,0.422222
1645,spring,0.252054795,1
1645,summer,0.252054795,1
1645,fall,0.252054795,1
1646,winter,0.161643836,0.655555
1646,spring,0.169863014,0.67391304
1646,summer,0,0
1646,fall,0,0
1647,winter,0,0
1647,spring,0,0
1647,summer,0,0
1647,fall,0,0
1648,winter,0,0
1648,spring,0,0
1648,summer,0,0
1648,fall,0,0
1649,winter,0,0
1649,spring,0,0
1649,summer,0,0
1649,fall,0,0
1650,winter,0,0
1650,spring,0,0
1650,summer,0,0
1650,fall,0,0
1651,winter,0,0
1651,spring,0,0
1651,summer,0,0
1651,fall,0,0
1652,winter,0,0
1652,spring,0,0
1652,summer,0,0
1652,fall,0,0
1653,winter,0,0
1653,spring,0,0
1653,summer,0,0
1653,fall,0,0
1654,winter,0,0
1654,spring,0,0
1654,summer,0,0
1654,fall,0,0
1655,winter,0.084931507,0.34444
1655,spring,0,0
1655,summer,0,0
1655,fall,0.082191781,0.32608695
1656,winter,0.164383562,0.666666
1656,spring,0.252054795,1
1656,summer,0.252054795,1
1656,fall,0.115068493,0.4565217
1657,winter,0,0
1657,spring,0,0
1657,summer,0,0
1657,fall,0,0
1658,winter,0,0
1658,spring,0,0
1658,summer,0,0
1658,fall,0,0
1659,winter,0,0
1659,spring,0,0
1659,summer,0,0
1659,fall,0,0
1660,winter,0,0
1660,spring,0,0
1660,summer,0,0
1660,fall,0,0
1661,winter,0,0
1661,spring,0,0
1661,summer,0,0
1661,fall,0,0
1662,winter,0.046575342,0.188888
1662,spring,0,0
1662,summer,0,0
1662,fall,0.167123288,0.66304347
1663,winter,0.071232877,0.288888
1663,spring,0.252054795,1
1663,summer,0.252054795,1
1663,fall,0.15890411,0.6304347
1664,winter,0,0
1664,spring,0,0
1664,summer,0,0
1664,fall,0,0
1665,winter,0,0
1665,spring,0,0
1665,summer,0,0
1665,fall,0,0
1666,winter,0,0
1666,spring,0,0
1666,summer,0,0
1666,fall,0,0
1667,winter,0,0
1667,spring,0,0
1667,summer,0,0
1667,fall,0,0
1668,winter,0.084931507,0.3406593
1668,spring,0,0
1668,summer,0,0
1668,fall,0.232876712,0.92391304
1669,winter,0.161643836,0.655555
1669,spring,0.252054795,1
1669,summer,0.232876712,0.92391304
1669,fall,0,0
1670,winter,0,0
1670,spring,0,0
1670,summer,0,0
1670,fall,0,0
1671,winter,0,0
1671,spring,0,0
1671,summer,0,0
1671,fall,0,0
1672,winter,0,0
1672,spring,0,0
1672,summer,0,0
1672,fall,0,0
1673,winter,0,0
1673,spring,0,0
1673,summer,0,0
1673,fall,0,0
1674,winter,0,0
1674,spring,0,0
1674,summer,0,0
1674,fall,0,0
1675,winter,0,0
1675,spring,0,0
1675,summer,0,0
1675,fall,0,0
1676,winter,0,0
1676,spring,0,0
1676,summer,0,0
1676,fall,0,0
1677,winter,0,0
1677,spring,0,0
1677,summer,0,0
1677,fall,0,0
1678,winter,0,0
1678,spring,0,0
1678,summer,0,0
1678,fall,0,0
1679,winter,0.002739726,0.011111
1679,spring,0.054794521,0.217391
1679,summer,0,0
1679,fall,0,0
1680,winter,0,0
1680,spring,0,0
1680,summer,0,0
1680,fall,0,0
1681,winter,0,0
1681,spring,0,0
1681,summer,0,0
1681,fall,0,0
1682,winter,0,0
1682,spring,0,0
1682,summer,0,0
1682,fall,0,0
1683,winter,0,0
1683,spring,0,0
1683,summer,0,0
1683,fall,0,0
1684,winter,0,0
1684,spring,0,0
1684,summer,0,0
1684,fall,0,0
1685,winter,0,0
1685,spring,0,0
1685,summer,0,0
1685,fall,0,0
1686,winter,0,0
1686,spring,0,0
1686,summer,0,0
1686,fall,0,0
1687,winter,0,0
1687,spring,0,0
1687,summer,0,0
1687,fall,0,0
1688,winter,0,0
1688,spring,0,0
1688,summer,0,0
1688,fall,0,0